@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2022/02/25 10:51:45:346',2,64,60,59,11.5,127,127
2,'2022/02/25 10:51:45:359',2,64,61,59,11.5,127,127
3,'2022/02/25 10:51:45:359',2,64,60,59,11.5,127,127
4,'2022/02/25 10:51:45:596',2,64,61,59,11.5,127,127
5,'2022/02/25 10:51:45:596',2,64,60,59,11.5,127,127
6,'2022/02/25 10:51:45:646',2,64,60,59,11.5,127,127
7,'2022/02/25 10:51:45:646',2,65,60,59,11.5,127,127
8,'2022/02/25 10:51:45:647',2,66,60,59,11.5,127,127
9,'2022/02/25 10:51:45:696',2,69,60,59,11.5,127,127
10,'2022/02/25 10:51:45:696',2,71,60,59,11.5,127,127
11,'2022/02/25 10:51:45:696',2,74,60,59,11.5,127,127
12,'2022/02/25 10:51:45:697',2,77,60,59,11.5,127,127
13,'2022/02/25 10:51:45:697',2,80,60,59,11.5,127,127
14,'2022/02/25 10:51:45:697',2,81,60,59,11.5,127,127
15,'2022/02/25 10:51:45:746',2,83,60,59,11.5,127,127
16,'2022/02/25 10:51:45:746',2,86,60,59,11.5,127,127
17,'2022/02/25 10:51:45:747',2,89,60,59,11.5,127,127
18,'2022/02/25 10:51:45:747',2,91,60,59,11.5,127,127
19,'2022/02/25 10:51:45:747',2,93,60,59,11.5,127,127
20,'2022/02/25 10:51:45:747',2,96,60,59,11.5,127,127
21,'2022/02/25 10:51:45:747',2,97,60,59,11.5,127,127
22,'2022/02/25 10:51:45:796',2,101,60,59,11.5,127,127
23,'2022/02/25 10:51:45:796',2,102,60,59,11.5,127,127
24,'2022/02/25 10:51:45:796',2,106,60,59,11.5,127,127
25,'2022/02/25 10:51:45:797',2,107,60,59,11.5,127,127
26,'2022/02/25 10:51:45:797',2,111,60,59,11.5,127,127
27,'2022/02/25 10:51:45:797',2,113,60,59,11.5,127,127
28,'2022/02/25 10:51:45:846',2,117,60,59,11.5,127,127
29,'2022/02/25 10:51:45:846',2,119,60,59,11.5,127,127
30,'2022/02/25 10:51:45:847',2,122,60,59,11.5,127,127
31,'2022/02/25 10:51:45:847',2,124,60,59,11.5,127,127
32,'2022/02/25 10:51:45:847',2,126,60,59,11.5,127,127
33,'2022/02/25 10:51:45:847',2,127,60,59,11.5,127,127
34,'2022/02/25 10:51:47:096',2,127,61,59,11.5,127,127
35,'2022/02/25 10:51:47:096',2,127,61,59,11.5,127,127
36,'2022/02/25 10:51:47:096',2,127,62,59,11.5,127,127
37,'2022/02/25 10:51:47:096',2,127,62,59,11.5,127,127
38,'2022/02/25 10:51:47:146',2,127,63,59,11.5,127,127
39,'2022/02/25 10:51:47:146',2,127,63,59,11.5,127,127
40,'2022/02/25 10:51:47:246',2,124,63,59,11.5,127,127
